driver,kart,tires,glider,weight,acceleration,on road traction,off road traction,mini-turbo,ground speed,water speed,anti-gravity speed,air speed,ground handling,water handling,anti-gravity handling,air handling,speed+MT,Pareto Optimal?
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Off-Road/Retro Off-Road/Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,11,11,12,12,13,15,13,12,9,7,10,11,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Off-Road/Retro Off-Road/Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,10,12,11,11,14,14,13,13,9,8,9,10,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Off-Road/Retro Off-Road/Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,11,12,11,12,13,14,13,12,9,8,9,11,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Sponge/Cushion,Super Glider/Waddle Wing/Hylian Kite,10,11,10,12,14,12,12,11,16,10,7,10,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Sponge/Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,9,12,10,12,15,11,12,12,15,10,7,10,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Sponge/Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,11,11,11,11,14,12,11,12,16,10,8,9,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Sponge/Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,10,12,11,11,15,11,11,12,15,10,8,9,12,26,true
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Standard/Blue Standard/GLA Tires,Super Glider/Waddle Wing/Hylian Kite,10,13,10,12,14,11,14,10,13,13,11,12,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Standard/Blue Standard/GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,9,14,10,12,15,10,14,11,12,13,11,12,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Standard/Blue Standard/GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,11,13,11,11,14,11,13,11,13,13,12,11,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Standard/Blue Standard/GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,10,14,11,11,15,10,13,11,12,13,12,11,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Monster/Hot Monster/Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,12,11,11,14,13,11,13,10,11,10,9,9,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Monster/Hot Monster/Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,12,11,14,14,10,13,11,10,10,9,9,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Monster/Hot Monster/Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,11,12,13,13,11,12,11,11,10,10,8,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Monster/Hot Monster/Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,12,12,13,14,10,12,11,10,10,10,8,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,8,15,8,11,16,9,14,8,13,14,12,13,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,7,16,8,11,17,8,14,9,12,14,12,13,12,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,9,15,9,10,16,9,13,9,13,14,13,12,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,8,16,9,10,17,8,13,9,12,14,13,12,12,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,10,11,12,8,13,12,13,12,12,14,12,12,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,9,12,12,8,14,11,13,13,11,14,12,12,12,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,11,11,13,7,13,12,12,13,12,14,13,11,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,10,12,13,7,14,11,12,13,11,14,13,11,12,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,11,10,12,7,11,13,11,12,10,12,8,11,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,11,12,7,12,12,11,13,9,12,8,11,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,10,13,6,11,13,10,13,10,12,9,10,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,11,13,6,12,12,10,13,9,12,9,10,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Metal/Gold Tires,Super Glider/Waddle Wing/Hylian Kite,12,9,9,9,11,13,14,9,12,12,10,10,7,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Metal/Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,10,9,9,12,12,14,10,11,12,10,10,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Metal/Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,9,10,8,11,13,13,10,12,12,11,9,7,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Metal/Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,10,10,8,12,12,13,10,11,12,11,9,8,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Button/Leaf Tires,Super Glider/Waddle Wing/Hylian Kite,8,14,9,10,15,10,13,10,12,13,11,13,9,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Button/Leaf Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,7,15,9,10,16,9,13,11,11,13,11,13,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Button/Leaf Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,9,14,10,9,15,10,12,11,12,13,12,12,9,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Button/Leaf Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,8,15,10,9,16,9,12,11,11,13,12,12,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Off-Road/Retro Off-Road/Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,11,12,11,13,12,12,15,10,11,11,9,11,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Off-Road/Retro Off-Road/Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,13,11,13,13,11,15,11,10,11,9,11,10,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Off-Road/Retro Off-Road/Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,12,12,12,12,12,14,11,11,11,10,10,9,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Off-Road/Retro Off-Road/Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,13,12,12,13,11,14,11,10,11,10,10,10,24,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Sponge/Cushion,Super Glider/Waddle Wing/Hylian Kite,9,13,10,13,15,10,12,9,14,12,9,11,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Sponge/Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,8,14,10,13,16,9,12,10,13,12,9,11,11,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Sponge/Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,10,13,11,12,15,10,11,10,14,12,10,10,10,25,false
Mario/Ludwig/Mii (medium),Pipe Frame/Varmint/City Tripper,Sponge/Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,9,14,11,12,16,9,11,10,13,12,10,10,11,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Standard/Blue Standard/GLA Tires,Super Glider/Waddle Wing/Hylian Kite,12,10,9,12,13,13,14,14,16,10,9,12,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Standard/Blue Standard/GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,11,9,12,14,12,14,15,15,10,9,12,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Standard/Blue Standard/GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,10,10,11,13,13,13,15,16,10,10,11,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Standard/Blue Standard/GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,11,10,11,14,12,13,15,15,10,10,11,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Monster/Hot Monster/Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,14,8,10,14,12,13,13,14,14,7,7,9,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Monster/Hot Monster/Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,13,9,10,14,13,12,13,15,13,7,7,9,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Monster/Hot Monster/Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,15,8,11,13,12,13,12,15,14,7,8,8,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Monster/Hot Monster/Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,14,9,11,13,13,12,12,15,13,7,8,8,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,10,12,7,11,15,11,14,12,16,11,10,13,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,9,13,7,11,16,10,14,13,15,11,10,13,12,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,11,12,8,10,15,11,13,13,16,11,11,12,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,10,13,8,10,16,10,13,13,15,11,11,12,12,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,12,8,11,8,12,14,13,16,15,11,10,12,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,9,11,8,13,13,13,17,14,11,10,12,12,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,8,12,7,12,14,12,17,15,11,11,11,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,9,12,7,13,13,12,17,14,11,11,11,12,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,13,7,11,7,10,15,11,16,13,9,6,11,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,8,11,7,11,14,11,17,12,9,6,11,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,7,12,6,10,15,10,17,13,9,7,10,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,8,12,6,11,14,10,17,12,9,7,10,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Metal/Gold Tires,Super Glider/Waddle Wing/Hylian Kite,14,6,8,9,10,15,14,13,15,9,8,10,7,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Metal/Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,13,7,8,9,11,14,14,14,14,9,8,10,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Metal/Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,15,6,9,8,10,15,13,14,15,9,9,9,7,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Metal/Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,14,7,9,8,11,14,13,14,14,9,9,9,8,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Button/Leaf Tires,Super Glider/Waddle Wing/Hylian Kite,10,11,8,10,14,12,13,14,15,10,9,13,9,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Button/Leaf Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,9,12,8,10,15,11,13,15,14,10,9,13,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Button/Leaf Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,11,11,9,9,14,12,12,15,15,10,10,12,9,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Button/Leaf Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,10,12,9,9,15,11,12,15,14,10,10,12,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Off-Road/Retro Off-Road/Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,13,9,10,13,11,14,15,14,14,8,7,11,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Off-Road/Retro Off-Road/Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,10,10,13,12,13,15,15,13,8,7,11,10,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Off-Road/Retro Off-Road/Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,9,11,12,11,14,14,15,14,8,8,10,9,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Off-Road/Retro Off-Road/Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,10,11,12,12,13,14,15,13,8,8,10,10,25,false
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Sponge/Cushion,Super Glider/Waddle Wing/Hylian Kite,11,10,9,13,14,12,12,13,17,9,7,11,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Sponge/Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,11,9,13,15,11,12,14,16,9,7,11,11,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Sponge/Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,10,10,12,14,12,11,14,17,9,8,10,10,26,true
Mario/Ludwig/Mii (medium),Mach 8/Sports Coupe/Inkstriker,Sponge/Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,11,10,12,15,11,11,14,16,9,8,10,11,26,true
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Standard/Blue Standard/GLA Tires,Super Glider/Waddle Wing/Hylian Kite,13,8,8,11,11,14,16,11,12,9,12,9,9,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Standard/Blue Standard/GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,9,8,11,12,13,16,12,11,9,12,9,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Standard/Blue Standard/GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,8,9,10,11,14,15,12,12,9,13,8,9,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Standard/Blue Standard/GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,9,9,10,12,13,15,12,11,9,13,8,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Monster/Hot Monster/Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,15,6,9,13,10,14,15,11,10,6,10,6,7,24,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Monster/Hot Monster/Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,14,7,9,13,11,13,15,12,9,6,10,6,8,24,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Monster/Hot Monster/Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,16,6,10,12,10,14,14,12,10,6,11,5,7,24,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Monster/Hot Monster/Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,15,7,10,12,11,13,14,12,9,6,11,5,8,24,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,11,10,6,10,13,12,16,9,12,10,13,10,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,11,6,10,14,11,16,10,11,10,13,10,11,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,10,7,9,13,12,15,10,12,10,14,9,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,11,7,9,14,11,15,10,11,10,14,9,11,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,13,6,10,7,10,15,15,13,11,10,13,9,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,7,10,7,11,14,15,14,10,10,13,9,11,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,6,11,6,10,15,14,14,11,10,14,8,10,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,7,11,6,11,14,14,14,10,10,14,8,11,25,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,14,5,10,6,8,16,13,13,9,8,9,8,7,24,false
Mario/Ludwig/Mii (medium),Steel Driver/Tri-Speeder/Bone Rattler,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,13,6,10,6,9,15,13,14,8,8,9,8,8,24,false
